Flow_ID,Source IP,Destination IP,Source Port,Destination Port,QUIC Connection ID,QUIC Connection Number,Frame Numbers
142.3.141.47_142.251.215.228_52050_443,142.3.141.47,142.251.215.228,52050,443,dc:02:9c:44:c9:9e:97:06__NA__fc:02:9c:44:c9:9e:97:06,35,19
142.3.141.47_142.250.69.195_58964_443,142.3.141.47,142.250.69.195,58964,443,e1:ff:1c:57:80:3c:37:72__NA,36,16
142.3.141.47_142.251.215.228_50619_443,142.3.141.47,142.251.215.228,50619,443,c0:ea:be:27:19:c2:f5:da__NA__e0:ea:be:27:19:c2:f5:da,37,9
142.3.141.47_172.217.14.227_60507_443,142.3.141.47,172.217.14.227,60507,443,e1:15:15:7b:4e:a7:fa:bc__NA,38,101
142.3.141.47_142.251.33.106_57900_443,142.3.141.47,142.251.33.106,57900,443,ff:8d:81:27:d3:62:e4:c1__NA,39,16
142.3.141.47_142.250.69.206_63372_443,142.3.141.47,142.250.69.206,63372,443,de:37:0f:51:f7:03:d0:e6__NA__fe:37:0f:51:f7:03:d0:e6,40,22
142.3.141.47_142.251.215.227_63329_443,142.3.141.47,142.251.215.227,63329,443,76:ef:d6:20:7c:9c:64:57__NA__f6:ef:d6:20:7c:9c:64:57,41,16
142.3.141.47_142.251.215.228_55992_443,142.3.141.47,142.251.215.228,55992,443,11:39:d7:29:7c:77:df:03__NA__f1:39:d7:29:7c:77:df:03,42,9
142.3.141.47_172.217.14.225_49720_443,142.3.141.47,172.217.14.225,49720,443,89:ab:48:b7:6b:ae:a8:fd__NA__e9:ab:48:b7:6b:ae:a8:fd,43,578
142.3.141.47_142.251.211.246_53801_443,142.3.141.47,142.251.211.246,53801,443,42:5b:f8:24:90:bd:64:52__NA__e2:5b:f8:24:90:bd:64:52,44,3857
142.3.141.47_142.250.217.106_50060_443,142.3.141.47,142.250.217.106,50060,443,7d:0c:32:95:f0:b7:55:d6__NA__fd:0c:32:95:f0:b7:55:d6,45,32
142.3.141.47_142.250.217.99_55369_443,142.3.141.47,142.250.217.99,55369,443,a3:c6:7d:e1:2a:93:a6:7d__NA__e3:c6:7d:e1:2a:93:a6:7d,46,12
142.3.141.47_142.250.69.202_56980_443,142.3.141.47,142.250.69.202,56980,443,83:91:14:da:8c:be:fe:d8__NA__e3:91:14:da:8c:be:fe:d8,47,11
142.3.141.47_142.250.217.99_55989_443,142.3.141.47,142.250.217.99,55989,443,a5:c1:6e:20:54:c0:5f:ff__NA__e5:c1:6e:20:54:c0:5f:ff,48,9
142.3.141.47_199.212.24.140_60603_443,142.3.141.47,199.212.24.140,60603,443,1c:c5:0d:4a:2d:bc:cb:cf__NA__fc:c5:0d:4a:2d:bc:cb:cf,49,14
142.3.141.47_199.212.24.141_58013_443,142.3.141.47,199.212.24.141,58013,443,4a:ec:ea:0e:f4:67:fc:0e__NA__ea:ec:ea:0e:f4:67:fc:0e,50,16412
142.3.141.47_173.194.56.42_54437_443,142.3.141.47,173.194.56.42,54437,443,5c:fa:97:02:d9:fd:fb:b6__NA__fc:fa:97:02:d9:fd:fb:b6,51,2943
142.3.141.47_142.251.215.228_54057_443,142.3.141.47,142.251.215.228,54057,443,17:98:8f:04:0c:50:ed:ea__NA__f7:98:8f:04:0c:50:ed:ea,52,27
142.3.141.47_142.251.215.228_51272_443,142.3.141.47,142.251.215.228,51272,443,e0:81:69:21:e6:39:dd:03__NA,53,10
142.3.141.47_142.250.69.195_56965_443,142.3.141.47,142.250.69.195,56965,443,0f:90:04:db:a1:b0:3d:3d__NA__ef:90:04:db:a1:b0:3d:3d,54,28
142.3.141.47_142.251.33.106_64616_443,142.3.141.47,142.251.33.106,64616,443,a7:a0:da:ae:2e:2f:c8:86__NA__e7:a0:da:ae:2e:2f:c8:86,55,76
142.3.141.47_172.217.14.227_55969_443,142.3.141.47,172.217.14.227,55969,443,02:37:1f:ed:3f:78:17:9b__NA__e2:37:1f:ed:3f:78:17:9b,56,15
142.3.141.47_172.217.14.227_53795_443,142.3.141.47,172.217.14.227,53795,443,0b:ff:63:71:c8:a2:21:32__NA__eb:ff:63:71:c8:a2:21:32,57,18
142.3.141.47_142.251.33.110_60483_443,142.3.141.47,142.251.33.110,60483,443,a4:20:64:0d:0c:02:ee:55__NA__e4:20:64:0d:0c:02:ee:55,58,71
142.3.141.47_142.250.69.206_58529_443,142.3.141.47,142.250.69.206,58529,443,33:bb:10:85:46:e3:ee:27__NA__f3:bb:10:85:46:e3:ee:27,59,33
